sentence_id,words,labels
1,2004-5-14,B-TIM
2,2009-10-25,B-TIM
3,2008-12-27,B-TIM
4,2009-2-9,B-TIM
5,1988-6-23,B-TIM
6,2007-9-1,B-TIM
7,2012-7-31,B-TIM
8,1982-11-14,B-TIM
9,1986-11-1,B-TIM
10,1982-1-5,B-TIM
11,1981-2-5,B-TIM
12,2004-1-2,B-TIM
13,1989-1-8,B-TIM
14,2017-2-5,B-TIM
15,2016-8-23,B-TIM
16,1999-11-17,B-TIM
17,2005-5-1,B-TIM
18,1989-10-31,B-TIM
19,2004-11-20,B-TIM
20,2004-6-22,B-TIM
21,1988-10-6,B-TIM
22,2004-12-24,B-TIM
23,2020-4-16,B-TIM
24,1981-5-3,B-TIM
25,2002-4-19,B-TIM
26,1986-5-21,B-TIM
27,2013-11-4,B-TIM
28,2007-1-19,B-TIM
29,1981-6-13,B-TIM
30,1985-5-13,B-TIM
31,2010-10-23,B-TIM
32,1989-10-17,B-TIM
33,2019-4-16,B-TIM
34,2020-8-27,B-TIM
35,2003-2-17,B-TIM
36,2009-1-4,B-TIM
37,1992-3-11,B-TIM
38,1986-6-12,B-TIM
39,2010-2-22,B-TIM
40,2000-5-9,B-TIM
41,2014-8-26,B-TIM
42,2017-2-8,B-TIM
43,2011-3-14,B-TIM
44,2000-11-17,B-TIM
45,2015-9-16,B-TIM
46,2020-11-29,B-TIM
47,2014-5-12,B-TIM
48,2001-8-25,B-TIM
49,2014-6-9,B-TIM
50,2009-8-14,B-TIM
51,1991-7-6,B-TIM
52,2006-8-20,B-TIM
53,1992-2-24,B-TIM
54,2011-11-26,B-TIM
55,2018-9-9,B-TIM
56,2000-11-9,B-TIM
57,2001-2-1,B-TIM
58,2004-1-10,B-TIM
59,2010-6-24,B-TIM
60,2014-3-8,B-TIM
61,1997-9-18,B-TIM
62,1983-5-12,B-TIM
63,1994-11-15,B-TIM
64,2012-1-18,B-TIM
65,2011-8-23,B-TIM
66,2000-3-12,B-TIM
67,2018-10-29,B-TIM
68,1998-6-4,B-TIM
69,2006-4-8,B-TIM
70,1980-3-23,B-TIM
71,2004-1-18,B-TIM
72,2011-7-26,B-TIM
73,1989-4-2,B-TIM
74,1997-8-31,B-TIM
75,1992-7-11,B-TIM
76,2000-4-5,B-TIM
77,2019-12-7,B-TIM
78,1982-7-1,B-TIM
79,1997-4-25,B-TIM
80,1983-5-2,B-TIM
81,2003-10-20,B-TIM
82,2003-9-31,B-TIM
83,1987-10-4,B-TIM
84,1987-1-21,B-TIM
85,1987-1-21,B-TIM
86,2008-6-21,B-TIM
87,1983-3-20,B-TIM
88,1996-12-28,B-TIM
89,1984-12-16,B-TIM
90,2006-7-14,B-TIM
91,2000-8-24,B-TIM
92,1988-10-20,B-TIM
93,2010-7-23,B-TIM
94,1987-9-5,B-TIM
95,1995-4-17,B-TIM
96,1991-6-25,B-TIM
97,2006-9-23,B-TIM
98,1988-2-3,B-TIM
99,1990-12-20,B-TIM
100,1996-12-25,B-TIM
101,1998-3-16,B-TIM
102,2014-3-14,B-TIM
103,2012-7-13,B-TIM
104,2000-12-4,B-TIM
105,2000-1-9,B-TIM
106,2012-9-14,B-TIM
107,1986-1-2,B-TIM
108,1982-3-19,B-TIM
109,1988-2-18,B-TIM
110,2002-12-15,B-TIM
111,2014-5-4,B-TIM
112,1984-2-13,B-TIM
113,2018-7-12,B-TIM
114,1986-12-16,B-TIM
115,1981-6-5,B-TIM
116,2010-1-30,B-TIM
117,2005-10-28,B-TIM
118,1998-3-3,B-TIM
119,2012-7-24,B-TIM
120,1989-11-16,B-TIM
121,1983-7-22,B-TIM
122,1983-3-29,B-TIM
123,2015-1-1,B-TIM
124,2000-10-21,B-TIM
125,1998-10-6,B-TIM
126,2003-6-29,B-TIM
127,1990-2-26,B-TIM
128,2006-2-11,B-TIM
129,1981-9-29,B-TIM
130,1980-1-25,B-TIM
131,2016-1-9,B-TIM
132,2014-12-21,B-TIM
133,2019-2-6,B-TIM
134,2010-8-25,B-TIM
135,2019-5-15,B-TIM
136,1989-1-16,B-TIM
137,1998-3-5,B-TIM
138,2017-11-7,B-TIM
139,1987-4-11,B-TIM
140,2019-11-23,B-TIM
141,2006-10-12,B-TIM
142,1985-6-23,B-TIM
143,2018-5-30,B-TIM
144,2005-7-3,B-TIM
145,2020-1-18,B-TIM
146,2018-5-15,B-TIM
147,1988-8-4,B-TIM
148,2007-2-6,B-TIM
149,1980-1-15,B-TIM
150,1981-12-29,B-TIM
151,1986-10-28,B-TIM
152,2018-11-18,B-TIM
153,2008-3-29,B-TIM
154,2005-12-2,B-TIM
155,1993-10-24,B-TIM
156,2000-8-8,B-TIM
157,2001-8-7,B-TIM
158,1981-4-13,B-TIM
159,2019-4-17,B-TIM
